Nama Sukuk,Nilai Nominal,Interest/ Disc rate,Listing Date,Mature Date
Sukuk Mudharabah Berkelanjutan I Mandala Multifinance Tahap III Tahun 2023 SERI A,"300,000,000,000",7.0,22 Jun 2023,29 Jun 2024
Sukuk Mudharabah Berkelanjutan I Mandala Multifinance Tahap III Tahun 2023 SERI B,"200,000,000,000",8.5,22 Jun 2023,22 Jun 2026
SUKUK MUDHARABAH BERKELANJUTAN I OKI PULP & PAPER MILLS TAHAP II TAHUN 2023 SERI A,"91,415,000,000",7.0,13 Dec 2023,22 Dec 2024
SUKUK MUDHARABAH BERKELANJUTAN I OKI PULP & PAPER MILLS TAHAP II TAHUN 2023 SERI B,"280,905,000,000",10.5,13 Dec 2023,22 Dec 2026
SUKUK MUDHARABAH BERKELANJUTAN I OKI PULP & PAPER MILLS TAHAP II TAHUN 2023 SERI C,"127,680,000,000",11.0,13 Dec 2023,22 Dec 2028
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP I TAHUN 2020 SERI B,"49,000,000,000",7.7,14 May 2020,13 May 2023
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP II TAHUN 2020 SERI B,"103,000,000,000",7.6,18 Jul 2021,8 Jul 2023
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP II TAHUN 2020 SERI C,"80,500,000,000",7.95,9 Jul 2020,8 Jul 2025
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP III TAHUN 2020 SERI B,"131,000,000,000",6.45,22 Sep 2020,22 Sep 2023
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP IV TAHUN 2021 SERI B,"165,800,000,000",6.2,7 Apr 2021,6 Apr 2024
SUKUK MUDHARABAH BERKELANJUTAN I PTPP TAHAP I TAHUN 2021 SERI A,"400,000,000,000",8.5,5 Jul 2021,2 Jul 2024
SUKUK MUDHARABAH BERKELANJUTAN I PTPP TAHAP I TAHUN 2021 SERI B,"100,000,000,000",9.1,5 Jul 2021,2 Jul 2026
SUKUK MUDHARABAH BERKELANJUTAN I PTPP TAHAP II TAHUN 2022 SERI A,"60,000,000,000",6.5,25 Apr 2022,22 Apr 2025
SUKUK MUDHARABAH BERKELANJUTAN I PTPP TAHAP II TAHUN 2022 SERI B,"305,000,000,000",7.75,25 Apr 2022,22 Apr 2027
SUKUK MUDHARABAH BERKELANJUTAN I SARANA MULTI INFRASTRUKTUR TAHAP III TAHUN 2019 SERI C,"84,000,000,000",8.1,29 Aug 2019,28 Aug 2024
SUKUK MUDHARABAH BERKELANJUTAN I SARANA MULTI INFRASTRUKTUR TAHAP III TAHUN 2019 SERI D,"76,000,000,000",8.5,29 Aug 2019,28 Aug 2026
SUKUK MUDHARABAH BERKELANJUTAN I SMI TAHAP I TAHUN 2018 SERI B,"320,000,000,000",7.8,6 Jul 2018,6 Jul 2023
SUKUK MUDHARABAH BERKELANJUTAN I WIJAYA KARYA TAHAP I TAHUN 2020 SERI A,"184,000,000,000",8.6,21 Dec 2020,18 Dec 2023
SUKUK MUDHARABAH BERKELANJUTAN I WIJAYA KARYA TAHAP I TAHUN 2020 SERI B,"159,000,000,000",9.25,21 Dec 2020,18 Dec 2025
SUKUK MUDHARABAH BERKELANJUTAN I WIJAYA KARYA TAHAP I TAHUN 2020 SERI C,"157,000,000,000",9.85,21 Dec 2020,18 Dec 2027
SUKUK MUDHARABAH BERKELANJUTAN I WIJAYA KARYA TAHAP II TAHUN 2021 SERI A,"134,300,000,000",8.5,4 Mar 2021,3 Mar 2026
SUKUK MUDHARABAH BERKELANJUTAN I WIJAYA KARYA TAHAP II TAHUN 2021 SERI B,"211,600,000,000",9.1,4 Mar 2021,3 Mar 2026
SUKUK MUDHARABAH BERKELANJUTAN I WIJAYA KARYA TAHAP II TAHUN 2021 SERI C,"154,100,000,000",9.75,4 Mar 2021,3 Mar 2028
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP I TAHUN 2022 SERI A,"375,860,000,000",6.25,8 Aug 2022,5 Aug 2023
